"Ticket","File","Title"
"NRedberry-615al","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\MappingsPortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/MappingsPortTests.cs"
"NRedberry-5fwsx","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\MappingTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/MappingTests.cs"
"NRedberry-zu99d","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\MinusIndexMappingProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/MinusIndexMappingProviderTests.cs"
"NRedberry-kruc2","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\MinusIndexMappingProviderWrapperTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/MinusIndexMappingProviderWrapperTests.cs"
"NRedberry-h9txw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\PlusMinusIndexMappingProviderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/PlusMinusIndexMappingProviderTests.cs"
"NRedberry-egtsw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\ProviderComplexTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/ProviderComplexTests.cs"
"NRedberry-c6f14","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\ProviderFunctionsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/ProviderFunctionsTests.cs"
"NRedberry-0uwie","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\ProviderPowerTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/ProviderPowerTests.cs"
"NRedberry-0t0n6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indexmapping\SimpleProductMappingsPortTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indexmapping/SimpleProductMappingsPortTests.cs"
"NRedberry-ruzlk","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\AbstractIndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/AbstractIndicesTests.cs"
"NRedberry-8kcxp","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\EmptyIndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/EmptyIndicesTests.cs"
"NRedberry-jfipt","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\EmptySimpleIndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/EmptySimpleIndicesTests.cs"
"NRedberry-a44ow","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IIndexMappingTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IIndexMappingTests.cs"
"NRedberry-k2soi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\InconsistentIndicesExceptionTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/InconsistentIndicesExceptionTests.cs"
"NRedberry-awp90","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndexTypeMethodsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndexTypeMethodsTests.cs"
"NRedberry-d67ta","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesArraysUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesArraysUtilsTests.cs"
"NRedberry-i5w7j","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesBuilderTests.cs"
"NRedberry-4adkn","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesFactoryTests.cs"
"NRedberry-albdf","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesSymmetriesCreateTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesSymmetriesCreateTests.cs"
"NRedberry-je76q","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesSymmetriesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesSymmetriesTests.cs"
"NRedberry-4gtzc","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesTests.cs"
"NRedberry-drp62","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesUtilsAdditionalTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesUtilsAdditionalTests.cs"
"NRedberry-8z2ed","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\IndicesUtilsTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/IndicesUtilsTest.cs"
"NRedberry-gxtv6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\ShortArrayFactoryTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/ShortArrayFactoryTests.cs"
"NRedberry-tkgjt","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\SimpleIndicesAbstractTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/SimpleIndicesAbstractTests.cs"
"NRedberry-5ubzi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\SimpleIndicesIsolatedTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/SimpleIndicesIsolatedTests.cs"
"NRedberry-msaz0","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\SimpleIndicesOfTensorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/SimpleIndicesOfTensorTests.cs"
"NRedberry-0k1xn","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\SimpleIndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/SimpleIndicesTests.cs"
"NRedberry-n5vi1","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\SortedIndicesTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/SortedIndicesTests.cs"
"NRedberry-l8zjg","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\StructureOfIndicesAdditionalTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/StructureOfIndicesAdditionalTests.cs"
"NRedberry-wpghi","D:\GitHub\NRedberry\NRedberry.Core.Tests\Indices\StructureOfIndicesTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Indices/StructureOfIndicesTest.cs"
"NRedberry-5z0z3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ComplexAdditionalTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ComplexAdditionalTests.cs"
"NRedberry-gv38o","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ComplexBuilderTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ComplexBuilderTests.cs"
"NRedberry-7xy7f","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ComplexFieldTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ComplexFieldTests.cs"
"NRedberry-57jyw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ComplexTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ComplexTest.cs"
"NRedberry-xxs0a","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ComplexUtilsAdditionalTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ComplexUtilsAdditionalTests.cs"
"NRedberry-vtk74","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ComplexUtilsTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ComplexUtilsTest.cs"
"NRedberry-gdpxw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ExponentiationAdditionalTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ExponentiationAdditionalTests.cs"
"NRedberry-sgi43","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\ExponentiationTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/ExponentiationTest.cs"
"NRedberry-ie6tw","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\INumberTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/INumberTests.cs"
"NRedberry-vwaq6","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\MathUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/MathUtilsTests.cs"
"NRedberry-cei1k","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\NumberUtilsTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/NumberUtilsTest.cs"
"NRedberry-mzw4l","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\NumberUtilsTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/NumberUtilsTests.cs"
"NRedberry-8121d","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\NumericTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/NumericTest.cs"
"NRedberry-wg4mh","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\BracketsErrorTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/BracketsErrorTests.cs"
"NRedberry-t5wu5","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\BracketTokenTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/BracketTokenTests.cs"
"NRedberry-zvemv","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\ComplexTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/ComplexTest.cs"
"NRedberry-5f7b3","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\ComplexTokenTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/ComplexTokenTests.cs"
"NRedberry-oqj5w","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\INumberTokenParserTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/INumberTokenParserTests.cs"
"NRedberry-49pw7","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\NumberParserTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/NumberParserTest.cs"
"NRedberry-uft3l","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\NumberParserTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/NumberParserTests.cs"
"NRedberry-aezyt","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\OperatorTokenTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/OperatorTokenTests.cs"
"NRedberry-k8pxh","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\Parser\RealTokenTests.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/Parser/RealTokenTests.cs"
"NRedberry-00clf","D:\GitHub\NRedberry\NRedberry.Core.Tests\Number\RationalTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Number/RationalTest.cs"
"NRedberry-dafre","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parser\ParserIndicesTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parser/ParserIndicesTest.cs"
"NRedberry-y0hgj","D:\GitHub\NRedberry\NRedberry.Core.Tests\Parser\ParserPowerAstTest.cs","tests: migrate SHU001 assertions in NRedberry.Core.Tests/Parser/ParserPowerAstTest.cs"
